#  NN градусы  градусы           Z     Yaw           Pitch           Roll
10909 50.40555 29.95968 1029.747      264.249454 -0.865265 1.259422      
10910 50.40484 29.95553 1020.399      259.869598 -3.695564 1.138654      
10911 50.40424 29.95142 1009.547      271.270149 -3.228217 4.949860      
10912 50.40401 29.94739 1002.559      270.936737 -1.539240 0.031194      
10913 50.40369 29.94341 1005.963      264.972683 -1.658162 -0.726062     
10914 50.40318 29.93945 1003.463      263.743774 -1.960021 3.175586      
10915 50.40270 29.93549 998.116       265.135465 -1.871742 4.041372      
10916 50.40230 29.93156 994.835       266.475096 -1.476077 3.827485      
10917 50.40197 29.92766 992.922       264.959405 -0.757725 4.897492      
10918 50.40164 29.92379 996.462       259.794487 -0.703488 -0.043339     
10919 50.40111 29.91993 997.833       255.178634 -1.231176 2.186149      
10920 50.40055 29.91606 997.824       260.876786 0.314808 5.735562      
10921 50.40021 29.91221 998.183       261.938313 -1.115443 3.628136      
10922 50.39984 29.90825 995.193       257.152155 -0.766836 0.071675      
10923 50.39929 29.90440 999.998       258.367483 0.409980 2.542399      
10924 50.39877 29.90058 1005.637      260.169541 0.669899 2.622546      
10925 50.39832 29.89671 1013.563      261.704490 1.650050 3.097593      
10926 50.39793 29.89283 1022.105      258.484817 -1.484393 -0.508582     
10927 50.39735 29.88876 1020.788      255.990025 -0.774668 2.626090      
10928 50.39667 29.88473 1020.616      254.486361 -0.894331 1.290404      
10929 50.39597 29.88080 1023.282      255.709035 0.036480 3.903220      
10930 50.39538 29.87686 1026.980      261.507497 0.764289 6.143023      
10931 50.39498 29.87289 1032.420      261.494106 0.152179 1.511196      
10932 50.39456 29.86884 1037.928      260.381412 0.549327 3.239951      
10933 50.39416 29.86470 1033.538      261.861859 -1.440763 4.698999      
10934 50.39383 29.86053 1031.106      259.453192 -3.254599 0.333067      
10935 50.39336 29.85635 1024.620      258.203591 -1.771941 2.606173      
10936 50.39288 29.85230 1026.033      258.087492 -0.438821 4.203861      
10937 50.39241 29.84830 1027.977      258.832272 0.158518 3.944940      
10938 50.38642 29.85364 1033.177      72.128548 -1.457648 8.024703        
10939 50.38656 29.85784 1030.801      71.978955 0.104959 -0.230119       
10940 50.38694 29.86172 1037.636      58.947313 0.549147 -3.360401       
10941 50.38768 29.86557 1046.432      65.459616 -0.843808 6.207464        
10942 50.38813 29.86989 1041.766      70.989708 -2.930239 4.316158        
10943 50.38845 29.87417 1038.759      70.063672 -1.434017 0.263898        
10944 50.38894 29.87819 1042.580      65.046265 -1.109831 -0.639072       
10945 50.38956 29.88223 1043.658      66.871829 -1.498315 4.058812        
10946 50.39003 29.88640 1045.924      72.663493 -4.067525 0.193017        
10947 50.39027 29.89065 1043.685      65.879585 -1.849505 -1.226948       
10948 50.39069 29.89481 1039.746      61.862100 -2.843203 1.192977        
10949 50.39142 29.89878 1033.889      67.479331 -2.979939 1.403858        
10950 50.39216 29.90281 1029.449      75.592383 -3.819061 4.604824        
10951 50.39274 29.90687 1024.628      77.488188 -3.574393 1.020095        
10952 50.39299 29.91101 1016.800      71.370331 -2.624194 -1.417596       
10953 50.39324 29.91501 1009.388      64.765821 -0.721311 -1.169728       
10954 50.39370 29.91886 1006.415      61.951966 -0.759523 0.556642        
10955 50.39434 29.92250 1009.617      69.568961 -2.414442 6.147747        
10956 50.39504 29.92629 1005.143      71.801951 -1.471371 2.048662        
